"Environment and Climate Change Canada"
"Monthly Values for March - 2013"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","7.6","0",NA,"18.0","0","0.0","0","1.8","0",NA,"107.4","0",NA,"0.0","11","","",NA,"321.2","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","6.1","0","0.2","22.5","0","-2.5","0","0.0","0","0.0","219.2","0","98.0","0.0","12","","",NA,"368.4","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","6.1","16","-0.1","17.0","12","-2.0","11","0.0","12",NA,"194.0","12",NA,"","11","","",NA,"178.1","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","",,NA,"",,"2.3","2","",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","6.5","0","0.2","20.5","0","-2.0","0","0.0","0","0.0","120.8","0","89.0","0.0","13","","",NA,"355.6","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","6.3","0",NA,"15.1","0","-0.6","0","",,NA,"109.0","0",NA,"","14","",,NA,"361.5","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","6.3","0",NA,"19.0","0","-2.5","0","0.0","0",NA,"90.0","0",NA,"0.0","13","","",NA,"362.2","0.0","1013051"
"GALIANO NORTH","48.985","-123.573","BC","7.9","26",NA,"17.5","26","1.0","26","0.0","26",NA,"19.6","26",NA,"0.0","2","","",NA,"50.4","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","6.1","2",NA,"17.3","2","-1.2","0","",,NA,"",,NA,"","","",,NA,"344.4","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.8","0","23.0","100.0","0","112.0","0.0","12","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","18",NA,"83.0","18",NA,"","9","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","7.0","0",NA,"20.8","0","-2.7","0","",,NA,"94.0","0",NA,"","12","",,NA,"340.5","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","8.1","11",NA,"19.0","11","0.0","11","0.4","11",NA,"43.8","11",NA,"0.0","7","","",NA,"198.2","0.0","1015638"
"PORT RENFREW","48.591","-124.326","BC","6.5","0","0.3","18.5","0","-2.0","0","0.0","0","0.0","552.4","0","152.0","0.0","15","","",NA,"356.6","0.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","7.0","2","-0.1","17.0","1","-1.0","1","0.0","1",NA,"65.4","1",NA,"0.0","11","","",NA,"319.3","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","7.6","3","0.6","18.0","3","0.0","3","0.0","3",NA,"67.6","3",NA,"0.0","11","","",NA,"292.3","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","26",NA,"26.0","26",NA,"","5","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","6.6","0","0.0","16.8","0","-0.2","0","0.0","0","0.0","86.8","0","134.0","0.0","11","","",NA,"353.5","0.0","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","6.4","0",NA,"16.4","0","-0.3","0","",,NA,"95.2","0",NA,"","13","",,NA,"360.5","0.0","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","7.8","0",NA,"15.3","0","1.7","0","",,NA,"61.0","0",NA,"","12","",,NA,"314.8","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","6.3","0","0.3","20.0","0","-2.0","0","0.0","0","0.0","89.8","0","75.0","0.0","11","","",NA,"361.5","0.0","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","7.1","1",NA,"16.6","1","2.0","0","",,NA,"142.4","3",NA,"","12","",,NA,"328.2","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","7.0","0",NA,"17.1","0","-1.2","0","",,NA,"86.0","0",NA,"","14","",,NA,"342.5","0.0","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","3",NA,"66.2","3",NA,"0.0","10","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","7.4","0",NA,"18.9","0","1.1","0","",,NA,"77.8","0",NA,"","14","",,NA,"328.6","0.0","1018611"
"VICTORIA INT'L A","48.647","-123.426","BC","6.8","0","0.0","17.7","0","-1.9","0","0.0","0","0.0","76.6","0","98.0","0.0","13","159.6","0","110.0","346.9","0.0","1018620"
"WILLIAM HEAD","48.340","-123.539","BC","7.5","0","-0.1","15.0","0","1.5","0","0.0","0","0.0","107.2","0","134.0","0.0","14","","",NA,"326.9","0.0","1018935"
"BALLENAS ISLAND","49.350","-124.160","BC","",,NA,"",,"2.8","0","",,NA,"46.2","0",NA,"","10","",,NA,"","","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","6.1","0","0.9","20.0","0","-3.1","0","0.8","0","7.0","83.2","0","59.0","0.0","13","","",NA,"367.9","0.0","1021261"
"CAMPBELL RIVER SURFSIDE","49.945","-125.208","BC","",,"","",,"",,"0.0","0","0.0","87.2","0","68.0","0.0","11","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","7.0","0","0.7","17.5","0","-0.5","0","0.0","0","0.0","88.0","0","64.0","0.0","12","","",NA,"342.2","0.0","1021330"
"COMOX A","49.717","-124.900","BC","6.7","0","0.6","17.0","0","-1.4","0","0.0","0","0.0","81.2","0","77.0","0.0","11","143.8","0","115.0","350.5","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","6.5","0",NA,"19.5","0","-3.0","0","0.0","0",NA,"81.0","0",NA,"0.0","10","","",NA,"356.2","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","6.7","4",NA,"17.5","4","-1.0","4","0.0","4",NA,"107.8","4",NA,"0.0","12","","",NA,"304.4","0.0","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","6.0","1",NA,"20.5","1","-4.0","0","0.0","0",NA,"84.4","0",NA,"0.0","12","","",NA,"359.0","0.0","1021989"
"ENTRANCE ISLAND CS","49.217","-123.800","BC","",,NA,"",,"3.1","0","",,NA,"33.4","1",NA,"","7","",,NA,"","","1022689"
"FANNY ISLAND","50.453","-125.993","BC","6.4","0",NA,"13.7","0","1.2","0","",,NA,"105.8","0",NA,"","13","",,NA,"361.0","0.0","1022795"
"GABRIOLA ISLAND","49.154","-123.734","BC","6.3","0","0.2","17.0","0","-2.0","0","27.2","0","850.0","74.8","0","81.0","0.0","11","","",NA,"363.5","0.0","1023042"
"HERIOT BAY SE","50.099","-125.203","BC","6.6","3",NA,"17.0","3","-1.0","3","0.0","3",NA,"101.4","3",NA,"0.0","15","","",NA,"318.1","0.0","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","6.3","1","0.7","17.0","1","-3.0","1","0.0","1",NA,"88.5","1",NA,"","11","","",NA,"352.5","0.0","1024638"
"MUD BAY","49.471","-124.794","BC","6.7","1","0.7","16.0","1","-1.0","0","0.0","1",NA,"108.2","1",NA,"0.0","11","","",NA,"340.5","0.0","1025240"
"MYRA CREEK","49.576","-125.606","BC","4.4","3",NA,"19.0","2","-3.5","2","2.0","2",NA,"168.3","2",NA,"0.0","12","","",NA,"381.0","0.0","1025254"
"NANAIMO A","49.054","-123.870","BC","6.8","0","0.5","19.3","0","-2.3","0","0.0","0","0.0","90.1","0","80.0","0.0","12","","",NA,"346.4","0.0","1025370"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0","0.0","93.7","0","82.0","0.0","11","","",NA,"","","10253G0"
"PINE ISLAND","50.976","-127.728","BC","6.2","0","-0.5","10.0","0","1.5","0","0.0","0","0.0","131.6","0","75.0","0.0","17","","",NA,"367.1","0.0","1026170"
"PORT HARDY A","50.680","-127.366","BC","5.5","0","0.0","13.4","0","-1.6","0","4.6","0","93.0","135.0","0","85.0","0.0","19","",,NA,"388.8","0.0","1026270"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","6.4","0",NA,"18.6","0","-2.0","0","",,NA,"56.9","0",NA,"","10","",,NA,"361.0","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","6.4","0","0.5","17.5","0","-1.5","0","0.0","0","0.0","119.4","0","99.0","0.0","14","","",NA,"359.3","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","6.6","5","0.8","20.0","4","-2.5","5","0.0","4",NA,"63.3","4",NA,"0.0","11","","",NA,"297.7","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","7.8","0",NA,"16.4","0","2.8","0","",,NA,"",,NA,"","","",,NA,"317.4","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","7.5","0",NA,"13.5","0","2.5","0","0.0","0",NA,"64.0","0",NA,"0.0","9","","",NA,"325.6","0.0","102BFHH"
"ALBERNI ROBERTSON CREEK","49.337","-124.982","BC","6.2","4","0.5","21.0","4","-3.0","4","0.0","4",NA,"160.1","4",NA,"","12","","",NA,"319.5","0.0","1030230"
"CAPE BEALE LIGHT","48.786","-125.216","BC","6.9","0","0.0","16.5","0","0.0","0","0.0","0","0.0","350.7","0","123.0","0.0","14","","",NA,"342.6","0.0","1031316"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"2.0","0","33.0","340.3","0","118.0","0.0","13","","",NA,"","","1031402"
"CONUMA RIVER HATCHERY","49.800","-126.418","BC","",,NA,"",,"",,"3.0","1",NA,"293.0","1",NA,"0.0","16","","",NA,"","","1031844"
"ESTEVAN POINT","49.384","-126.551","BC","6.5","1","-0.4","14.5","1","-1.0","1","1.0","1",NA,"278.6","1",NA,"0.0","13","","",NA,"346.5","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","6.4","4",NA,"14.1","4","-0.5","3","",,NA,"284.6","3",NA,"","12","",,NA,"312.5","0.0","1032731"
"GOLD RIVER TOWNSITE","49.779","-126.055","BC","7.0","3","1.4","24.0","3","-2.5","3","0.0","3",NA,"137.8","3",NA,"0.0","12","","",NA,"307.5","0.0","1033232"
"LENNARD ISLAND","49.111","-125.923","BC","6.7","0",NA,"14.0","0","1.0","0","0.0","0","0.0","342.4","0","108.0","0.0","15","","",NA,"350.8","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","6.7","2","0.4","22.0","2","-2.0","2","0.0","2",NA,"347.5","2",NA,"0.0","14","","",NA,"327.5","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","6.6","3","-0.5","16.5","3","-2.5","3","0.0","3",NA,"235.6","3",NA,"0.0","13","","",NA,"320.3","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","6.4","0","-0.4","16.0","0","-1.0","0","0.0","0","0.0","389.0","0","132.0","0.0","16","","",NA,"358.2","0.0","1035940"
"PORT ALBERNI COX LAKE","49.202","-124.752","BC","6.5","0","0.7","23.5","0","-2.0","0","2.2","0","20.0","200.8","0","88.0","0.0","14","","",NA,"357.0","0.0","1036208"
"PORT ALICE","50.386","-127.453","BC","6.8","1","0.3","18.0","1","-0.5","1","1.0","1",NA,"151.0","1",NA,"0.0","16","","",NA,"337.1","0.0","1036240"
"QUATSINO","50.534","-127.654","BC","6.3","10","-0.1","15.5","10","-1.0","10","0.0","10",NA,"94.2","10",NA,"0.0","10","","",NA,"245.9","0.0","1036570"
"QUATSINO LIGHTSTATION","50.441","-128.033","BC","7.1","0","0.2","16.0","0","0.5","0","4.8","0","331.0","180.2","0","75.0","0.0","16","","",NA,"338.7","0.0","1036572"
