"Environment and Climate Change Canada"
"Monthly Values for December - 2013"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","3.3","0",NA,"13.0","0","-6.5","0","11.6","0",NA,"43.0","0",NA,"0.0","10","","",NA,"456.5","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","2.1","0","-0.7","10.6","0","-11.0","0","10.5","0","53.0","68.8","0","20.0","0.0","11","","",NA,"491.4","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","0.9","17","-1.6","10.5","11","-12.5","11","8.2","11",NA,"63.6","11",NA,"0.0","9","","",NA,"239.3","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","1.7","21",NA,"10.2","0","-5.0","21","",,NA,"",,NA,"","","",,NA,"163.2","0.0","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","2.0","0","-1.3","11.5","0","-11.0","0","12.0","0","68.0","35.4","0","15.0","0.0","9","","",NA,"496.2","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","4.1","0",NA,"11.5","0","-5.4","0","",,NA,"",,NA,"","","",,NA,"432.0","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","2.8","3",NA,"12.0","3","-9.5","3","3.6","3",NA,"34.3","3",NA,"0.0","8","","",NA,"425.2","0.0","1013051"
"GALIANO NORTH","48.985","-123.573","BC","3.4","11",NA,"11.5","11","-6.0","11","0.0","9",NA,"20.8","9",NA,"0.0","5","","",NA,"291.3","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","1.6","0",NA,"9.0","0","-8.7","0","",,NA,"42.2","2",NA,"","10","",,NA,"508.6","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"6.0","0","97.0","89.0","0","61.0","0.0","14","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"8.0","17",NA,"15.2","17",NA,"","5","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","2.5","0",NA,"12.9","0","-12.7","0","",,NA,"82.8","0",NA,"0.0","24","",,NA,"481.6","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","3.4","1",NA,"12.0","1","-6.0","1","8.5","1",NA,"34.8","1",NA,"0.0","8","","",NA,"437.2","0.0","1015638"
"PORT RENFREW","48.592","-124.326","BC","2.4","0","-1.3","10.0","0","-9.0","0","11.0","0","91.0","229.2","0","48.0","0.0","18","","",NA,"482.7","0.0","1016335"
"RACE ROCKS","48.298","-123.531","BC","4.8","0",NA,"10.8","0","-4.4","0","",,NA,"",,NA,"","","",,NA,"409.6","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","2.9","4","-1.6","11.5","1","-7.5","3","3.5","1",NA,"35.4","1",NA,"0.0","9","","",NA,"407.5","0.0","1016940"
