"Environment and Climate Change Canada"
"Monthly Values for April - 2016"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","12.9","0",NA,"26.0","0","4.5","0","0.0","0",NA,"21.0","0",NA,"0.0","6","","",NA,"154.7","1.0","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","11.0","15","2.4","29.5","11","1.5","10","",,NA,"46.4","20",NA,"","6","","",NA,"106.1","0.8","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"20.7","11","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","12.1","0",NA,"21.6","0","5.3","0","",,NA,"12.8","0",NA,"","7","",,NA,"177.0","0.0","1012710"
"GALIANO NORTH","48.985","-123.573","BC","12.5","3",NA,"24.5","3","5.0","3","0.0","3",NA,"21.4","3",NA,"0.0","5","","",NA,"147.4","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","11.5","0",NA,"24.7","0","3.3","0","",,NA,"14.8","0",NA,"","5","",,NA,"197.2","3.1","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","7",NA,"16.2","7",NA,"","4","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","15",NA,"1.2","15",NA,"0.0","0","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","12.1","0",NA,"28.1","0","1.4","0","",,NA,"15.4","0",NA,"","5","",,NA,"178.5","0.1","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","12.8","1",NA,"27.5","1","4.5","1","0.0","1",NA,"22.2","1",NA,"0.0","10","","",NA,"154.5","2.4","1015638"
"RACE ROCKS","48.298","-123.531","BC","11.3","0",NA,"19.8","0","7.2","0","",,NA,"",,NA,"","","",,NA,"200.8","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","12.3","1","3.0","24.5","0","4.0","1","0.0","0",NA,"19.0","0","37.0","0.0","7","","",NA,"167.4","0.8","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","13.2","4","3.7","25.5","4","5.5","4","0.0","4",NA,"11.0","4",NA,"0.0","4","","",NA,"125.5","1.3","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","29",NA,"4.4","29",NA,"","1","","",NA,"","","1016RM0"
"SATURNA CAPMON CS","48.775","-123.128","BC","11.5","0",NA,"26.2","0","4.3","0","",,NA,"14.2","0",NA,"","6","",,NA,"196.9","2.6","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","12.2","0",NA,"22.0","0","7.1","0","",,NA,"14.0","0",NA,"","4","",,NA,"174.1","0.0","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","12.1","0","3.4","27.5","0","3.0","0","0.0","0","0.0","16.8","0","24.0","0.0","4","","",NA,"176.6","0.8","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","10.9","0",NA,"19.3","0","5.8","0","",,NA,"21.2","0",NA,"","6","",,NA,"212.5","0.0","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","12.2","0",NA,"25.0","0","3.1","0","",,NA,"11.0","0",NA,"","6","",,NA,"175.3","0.3","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","28",NA,"5.6","28",NA,"","2","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","12.4","0",NA,"25.5","0","7.1","0","",,NA,"7.2","4",NA,"","3","",,NA,"170.3","1.9","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","11.6","0",NA,"24.6","0","3.7","0","0.0","0",NA,"10.4","1",NA,"","4","",,NA,"190.9","0.0","1018621"
"BALLENAS ISLAND","49.350","-124.160","BC","11.6","0",NA,"19.5","0","7.0","0","",,NA,"20.8","0",NA,"","5","",,NA,"192.4","0.0","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","10.3","0","2.3","27.0","0","0.0","0","0.0","0","0.0","23.4","0","25.0","0.0","8","","",NA,"231.0","0.0","1021261"
"CAPE MUDGE","49.998","-125.195","BC","11.8","0","3.0","24.0","0","4.5","0","0.0","0","0.0","27.0","0","29.0","0.0","8","","",NA,"185.3","0.0","1021330"
"CHROME ISLAND","49.472","-124.683","BC","11.7","0",NA,"21.5","0","2.5","0","0.0","0",NA,"19.0","0",NA,"0.0","8","","",NA,"188.1","0.0","1021500"
"COMOX A","49.717","-124.900","BC","11.6","0","2.8","24.4","0","4.2","0","0.0","0","0.0","20.2","0","31.0","","7","",,NA,"193.2","0.0","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","11.9","0",NA,"27.0","0","0.0","0","0.0","0",NA,"44.0","0",NA,"0.0","8","","",NA,"184.1","0.0","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","11.4","13",NA,"26.0","13","1.5","13","0.0","13",NA,"11.4","13",NA,"0.0","4","","",NA,"113.1","0.3","1021988"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","11.2","2",NA,"28.0","1","1.0","1","0.0","1",NA,"25.8","1",NA,"0.0","6","","",NA,"190.0","0.0","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","11.8","0",NA,"22.7","0","7.6","0","",,NA,"7.4","0",NA,"","3","",,NA,"187.4","0.0","1022689"
"FANNY ISLAND","50.454","-125.993","BC","10.6","0",NA,"24.8","0","6.4","0","",,NA,"86.6","0",NA,"","11","",,NA,"221.9","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","11.9","6",NA,"24.5","6","4.0","6","0.0","6",NA,"38.0","6",NA,"0.0","9","","",NA,"147.5","0.0","1023462"
"NANAIMO A","49.054","-123.870","BC","12.8","17","3.8","27.0","17","2.5","17","0.0","18",NA,"6.6","18",NA,"","3","","",NA,"68.0","0.0","1025370"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"0.0","0",NA,"15.8","0","22.0","0.0","5","","",NA,"","","10253G0"
"PORT HARDY A","50.681","-127.367","BC","9.3","0",NA,"21.4","0","1.3","0","0.0","0",NA,"121.6","0",NA,"","16","",,NA,"262.0","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","11.0","1",NA,"24.8","1","1.2","0","",,NA,"20.1","1",NA,"","7","",,NA,"204.4","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","11.3","9","2.7","20.0","9","3.0","9","0.0","9",NA,"23.6","9",NA,"0.0","7","","",NA,"141.0","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","10.6","8","2.1","22.5","8","2.0","8","0.0","8",NA,"24.6","8",NA,"0.0","5","","",NA,"163.4","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","12.0","0",NA,"20.8","0","7.7","0","",,NA,"",,NA,"","","",,NA,"179.0","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","11.3","0",NA,"21.5","0","6.0","0","0.0","0",NA,"10.0","0",NA,"0.0","3","","",NA,"201.3","0.0","102BFHH"
"ALBERNI ROBERTSON CREEK","49.337","-124.982","BC","11.8","4","3.4","30.0","4","0.0","4","0.0","4",NA,"56.8","4",NA,"0.0","9","","",NA,"160.8","0.5","1030230"
"CAPE BEALE LIGHT","48.786","-125.216","BC","11.4","0","2.9","21.5","0","6.5","0","0.0","0",NA,"122.2","0","56.0","0.0","11","","",NA,"197.2","0.0","1031316"
"CARMANAH POINT","48.612","-124.751","BC","",,NA,"",,"",,"0.0","0","0.0","83.8","0","38.0","0.0","10","","",NA,"","","1031402"
"ESTEVAN POINT","49.383","-126.543","BC","10.7","0","2.5","19.5","0","4.5","0","0.0","0","0.0","199.6","0","73.0","0.0","12","","",NA,"217.7","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","10.4","0",NA,"18.7","0","4.3","0","",,NA,"184.4","0",NA,"","12","",,NA,"228.1","0.0","1032731"
"GOLD RIVER TOWNSITE","49.779","-126.055","BC","11.2","10","2.7","30.0","10","2.5","10","0.0","10",NA,"117.2","10",NA,"","9","","",NA,"136.1","0.0","1033232"
"LENNARD ISLAND","49.111","-125.923","BC","10.7","0",NA,"18.0","0","4.0","0","0.0","0","0.0","161.2","0","61.0","0.0","13","","",NA,"218.7","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","11.8","6","3.2","27.5","6","2.5","6","",,NA,"95.2","20",NA,"","10","","",NA,"148.4","0.0","1035612"
