"Environment and Climate Change Canada"
"Monthly Values for June - 2009"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.934","-123.741","BC","18.1","0",NA,"32.0","0","9.0","0","0.0","0",NA,"18.7","0",NA,"0.0","2","","",NA,"27.5","30.5","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","17.4","10","2.6","34.0","10","7.5","10","0.0","0",NA,"27.6","0","48.0","0.0","4","","",NA,"26.5","15.1","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","17.4","14","2.4","33.0","14","6.0","9","0.0","14",NA,"26.0","14",NA,"0.0","3","","",NA,"25.6","16.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","",,NA,"",,"9.5","0","",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","16.9","2","1.6","32.5","2","7.0","2","0.0","2",NA,"14.6","2",NA,"0.0","4","","",NA,"48.7","18.4","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","14.3","0",NA,"24.1","0","8.3","0","",,NA,"6.0","0",NA,"","3","",,NA,"110.9","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","16.8","0",NA,"32.0","0","7.0","0","0.0","0",NA,"11.4","0",NA,"0.0","5","","",NA,"51.7","15.4","1013051"
"GALIANO NORTH","48.985","-123.574","BC","16.9","3",NA,"30.0","3","9.0","3","0.0","3",NA,"10.8","3",NA,"0.0","3","","",NA,"40.0","11.1","10130MN"
"MALAHAT","48.575","-123.530","BC","16.3","0",NA,"29.1","0","7.7","0","",,NA,"",,NA,"","","",,NA,"70.2","19.6","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","1",NA,"5.8","1",NA,"0.0","3","","",NA,"","","1015105"
"NORTH COWICHAN","48.825","-123.720","BC","",,NA,"",,"",,"0.0","13",NA,"12.2","13",NA,"","2","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","16.3","0",NA,"32.3","0","4.9","0","",,NA,"12.9","0",NA,"","1","",,NA,"60.4","10.1","1015630"
"NORTH PENDER ISLAND","48.813","-123.317","BC","16.8","1",NA,"31.5","1","8.0","1","0.0","1",NA,"11.8","1",NA,"0.0","3","","",NA,"47.5","13.4","1015638"
"PORT RENFREW","48.591","-124.326","BC","14.4","0","1.0","30.5","0","5.5","0","0.0","0",NA,"45.8","0","42.0","0.0","3","","",NA,"115.7","7.0","1016335"
"SAANICHTON CDA","48.622","-123.419","BC","15.8","0","0.9","29.0","0","7.5","0","0.0","0",NA,"7.6","0","22.0","0.0","3","","",NA,"76.9","10.6","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","17.8","0","1.9","30.0","0","10.0","0","0.0","0",NA,"9.2","0","25.0","0.0","2","","",NA,"30.8","23.3","1016995"
"SATURNA CAPMON","48.775","-123.128","BC","15.5","0","1.0","29.0","0","8.0","0","0.0","0",NA,"15.8","0","42.0","0.0","4","","",NA,"90.1","15.3","1017098"
"SATURNA CAPMON CS","48.772","-123.114","BC","15.8","0",NA,"29.4","0","8.0","0","",,NA,"16.6","0",NA,"","4","",,NA,"82.2","16.3","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","",,NA,"",,"9.8","0","",,NA,"0.0","28",NA,"","0","",,NA,"","","1017101"
"SHAWNIGAN LAKE","48.647","-123.627","BC","16.9","0","1.8","32.0","0","7.5","0","0.0","0",NA,"10.0","0","25.0","0.0","3","","",NA,"50.2","17.2","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","13.6","0",NA,"26.2","0","7.6","0","",,NA,"1.8","0",NA,"","1","",,NA,"134.8","1.9","1017254"
"SOOKE LAKE NORTH","48.576","-123.640","BC","",,NA,"",,"",,"0.0","0","0.0","6.6","0","15.0","0.0","1","","",NA,"","","1017563"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","16.7","0",NA,"30.4","0","7.0","0","",,NA,"5.0","0",NA,"","2","",,NA,"50.7","12.6","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","29",NA,"3.8","29",NA,"","1","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","14.8","0",NA,"30.2","0","8.7","0","",,NA,"4.2","0",NA,"","2","",,NA,"105.1","9.6","1018611"
"VICTORIA HIGHLAND","48.509","-123.508","BC","16.0","0","1.1","32.0","0","6.5","0","0.0","0",NA,"6.6","0","20.0","0.0","3","","",NA,"73.9","12.4","1018616"
"VICTORIA INT'L A","48.647","-123.426","BC","16.3","0","1.4","31.3","0","6.6","0","0.0","0",NA,"6.0","0","20.0","0.0","2","335.0","0","133.0","64.6","12.9","1018620"
