"Environment and Climate Change Canada"
"Monthly Values for June - 2015"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","19.7","0",NA,"33.0","0","11.0","0","0.0","0",NA,"4.6","0",NA,"0.0","2","","",NA,"10.7","60.3","1011500"
"LAKE COWICHAN","48.829","-124.052","BC","17.4","13","2.4","37.0","9","6.0","8","0.0","9",NA,"6.0","9",NA,"0.0","2","","",NA,"20.4","10.4","1012055"
"DISCOVERY ISLAND","48.425","-123.226","BC","",,NA,"26.1","2","",,"",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","18.3","0","3.0","33.0","0","7.0","0","0.0","0",NA,"4.2","0","11.0","0.0","3","","",NA,"29.4","37.1","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","16.6","1",NA,"28.2","1","9.8","0","",,NA,"4.0","1",NA,"","1","",,NA,"49.3","9.8","1012710"
"GALIANO NORTH","48.985","-123.573","BC","19.2","9",NA,"34.5","9","12.0","9","0.0","8",NA,"9.4","8",NA,"0.0","3","","",NA,"9.4","34.7","10130MN"
"MALAHAT","48.575","-123.530","BC","18.6","0",NA,"32.6","0","7.9","0","",,NA,"6.0","0",NA,"","2","",,NA,"32.5","50.8","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"6.0","0","21.0","0.0","2","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","0",NA,"4.6","0","12.0","0.0","2","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","18.5","1",NA,"33.1","1","6.5","0","",,NA,"4.4","1",NA,"","1","",,NA,"25.2","39.7","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","18.8","2",NA,"31.0","2","8.0","2","0.0","2",NA,"4.2","2",NA,"0.0","2","","",NA,"17.3","38.6","1015638"
"RACE ROCKS","48.298","-123.531","BC","14.1","1",NA,"25.1","1","9.0","0","",,NA,"",,NA,"","","",,NA,"114.0","2.3","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","18.1","0","3.1","29.0","0","9.0","0","0.0","0",NA,"3.6","0","10.0","0.0","1","","",NA,"30.0","32.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","19.3","2","3.5","30.0","2","12.0","2","0.0","2",NA,"5.2","2",NA,"","2","","",NA,"9.7","46.3","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","29",NA,"3.4","29",NA,"","1","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","18.1","0","3.6","29.4","0","9.3","0","0.0","0",NA,"6.0","0","16.0","0.0","2","","",NA,"40.7","44.2","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","18.1","1",NA,"29.1","1","9.3","0","",,NA,"4.8","1",NA,"","2","",,NA,"39.9","42.6","1017099"
"SATURNA ISLAND CS","48.784","-123.045","BC","17.7","1",NA,"27.4","1","10.7","0","",,NA,"5.0","1",NA,"","2","",,NA,"31.2","21.1","1017101"
"SHAWNIGAN LAKE","48.647","-123.626","BC","18.5","0","3.4","33.5","0","7.5","0","0.0","0",NA,"5.4","0","13.0","0.0","3","","",NA,"26.0","41.5","1017230"
"SHERINGHAM POINT","48.377","-123.921","BC","12.9","0",NA,"24.1","0","8.8","0","",,NA,"4.2","0",NA,"","1","",,NA,"154.3","0.7","1017254"
"VICTORIA UNIVERSITY CS","48.457","-123.305","BC","17.5","0",NA,"31.4","0","7.2","0","",,NA,"4.4","0",NA,"","2","",,NA,"37.8","23.4","1018598"
"VICTORIA FRANCIS PARK","48.476","-123.443","BC","",,NA,"",,"",,"0.0","28",NA,"4.6","28",NA,"","2","","",NA,"","","1018605"
"VICTORIA GONZALES CS","48.413","-123.325","BC","16.1","1",NA,"27.3","1","9.7","0","",,NA,"3.8","4",NA,"","1","",,NA,"62.9","8.8","1018611"
"VICTORIA INTL A","48.647","-123.426","BC","17.6","0",NA,"29.0","0","7.0","0","0.0","1",NA,"4.6","2",NA,"","1","",,NA,"34.3","20.8","1018621"
"BALLENAS ISLAND","49.350","-124.160","BC","18.3","3",NA,"29.3","3","12.5","1","",,NA,"12.6","3",NA,"","1","",,NA,"19.9","27.6","1020590"
"CAMPBELL RIVER A","49.952","-125.273","BC","17.8","0","3.1","34.3","0","6.2","0","0.0","0",NA,"26.8","0","43.0","0.0","5","","",NA,"43.0","37.2","1021261"
"CAMPBELL RIVER SURFSIDE","49.945","-125.208","BC","",,"","",,"",,"0.0","0",NA,"31.2","0","61.0","0.0","5","","",NA,"","","1021266"
"CAPE MUDGE","49.998","-125.195","BC","18.2","0","3.4","32.0","0","9.5","0","0.0","0",NA,"25.8","0","42.0","0.0","5","","",NA,"29.1","36.5","1021330"
"CHATHAM POINT","50.333","-125.446","BC","16.2","1","2.0","27.0","1","9.5","1","0.0","1",NA,"23.0","1",NA,"","6","","",NA,"59.0","6.4","1021480"
"CHROME ISLAND","49.472","-124.683","BC","18.2","0",NA,"30.5","0","10.0","0","0.0","0",NA,"21.0","0",NA,"0.0","3","","",NA,"25.5","32.6","1021500"
"COMOX A","49.717","-124.900","BC","18.6","0","3.1","31.2","0","10.7","0","0.0","0",NA,"17.3","0","40.0","","2","",,NA,"22.4","40.2","1021830"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","19.3","4",NA,"34.4","4","9.0","4","0.0","4",NA,"21.6","4",NA,"0.0","2","","",NA,"14.3","48.3","1021960"
"COURTENAY GRANTHAM","49.763","-124.999","BC","17.2","9",NA,"29.5","9","9.0","9","0.0","9",NA,"17.2","9",NA,"","3","","",NA,"28.1","10.9","1021988"
