"Environment and Climate Change Canada"
"Monthly Values for December - 2017"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CORTES ISLAND TIBER BAY","50.071","-124.949","BC","1.6","0",NA,"9.5","0","-6.5","0","11.2","0",NA,"91.3","0",NA,"10.0","12","","",NA,"506.9","0.0","1021960"
"COURTENAY PUNTLEDGE","49.686","-125.033","BC","1.9","20",NA,"8.0","20","-3.0","19","0.0","20",NA,"14.2","20",NA,"","2","","",NA,"176.7","0.0","1021989"
"ENTRANCE ISLAND","49.209","-123.811","BC","3.8","9",NA,"8.4","9","-0.2","8","",,NA,"30.0","12",NA,"","4","",,NA,"311.4","0.0","1022689"
"FANNY ISLAND","50.454","-125.993","BC","4.1","0",NA,"10.7","0","-2.8","0","",,NA,"73.2","6",NA,"","10","",,NA,"430.7","0.0","1022795"
"HERIOT BAY SE","50.099","-125.203","BC","2.2","4",NA,"8.0","4","-4.0","4","17.2","4",NA,"59.4","4",NA,"10.0","7","","",NA,"427.0","0.0","1023462"
"LITTLE QUALICUM HATCHERY","49.353","-124.512","BC","0.7","18","-2.3","7.0","18","-7.5","18","9.0","18",NA,"24.0","18",NA,"","4","","",NA,"225.2","0.0","1024638"
"NANAIMO A","49.054","-123.870","BC","1.8","2",NA,"10.0","2","-7.5","2","40.8","2",NA,"111.6","2",NA,"9.0","9","","",NA,"469.3","0.0","1025369"
"NANAIMO CITY YARD","49.199","-123.988","BC","",,NA,"",,"",,"4.2","0","44.0","74.7","0","42.0","0.0","9","","",NA,"","","10253G0"
"PINE ISLAND","50.976","-127.728","BC","5.9","1","0.2","12.5","1","1.5","1","0.0","1",NA,"115.6","1",NA,"0.0","14","","",NA,"362.3","0.0","1026170"
"PORT HARDY A","50.681","-127.367","BC","3.4","0",NA,"13.3","0","-5.0","0","12.4","1",NA,"95.4","0",NA,"","19","",,NA,"453.0","0.0","1026271"
"QUALICUM BEACH AIRPORT","49.337","-124.394","BC","2.0","0",NA,"9.1","0","-6.5","0","",,NA,"113.7","0",NA,"","10","",,NA,"496.4","0.0","1026562"
"QUALICUM R FISH RESEARCH","49.394","-124.617","BC","2.7","6","-0.7","9.0","6","-4.5","6","9.6","6",NA,"94.3","6",NA,"0.0","11","","",NA,"382.3","0.0","1026565"
"QUINSAM RIVER HATCHERY","50.016","-125.304","BC","1.4","1","-1.2","9.0","1","-6.5","1","18.6","1",NA,"70.0","1",NA,"","10","","",NA,"498.7","0.0","1026639"
"SISTERS ISLAND","49.487","-124.435","BC","4.7","0",NA,"11.4","0","-0.1","0","",,NA,"",,NA,"","","",,NA,"413.6","0.0","1027403"
"ENTRANCE ISLAND","49.209","-123.809","BC","4.4","4",NA,"8.5","4","-0.5","4","0.0","4",NA,"80.2","4",NA,"","8","","",NA,"368.5","0.0","102BFHH"
"CAPE BEALE LIGHT","48.786","-125.216","BC","5.9","0","0.1","13.0","0","-1.0","0","1.0","0","27.0","183.2","0","48.0","0.0","12","","",NA,"373.8","0.0","1031316"
"ESTEVAN POINT","49.383","-126.543","BC","5.9","0","0.3","14.0","0","-2.0","0","0.0","0","0.0","130.6","0","30.0","0.0","14","","",NA,"374.5","0.0","1032730"
"ESTEVAN POINT CS","49.383","-126.543","BC","5.5","0",NA,"13.1","0","-2.0","0","",,NA,"120.8","0",NA,"","13","",,NA,"389.0","0.0","1032731"
"LENNARD ISLAND","49.111","-125.923","BC","5.5","0",NA,"13.5","0","-1.5","0","1.0","0","28.0","128.8","0","30.0","0.0","13","","",NA,"386.4","0.0","1034600"
"NITINAT RIVER HATCHERY","48.859","-124.655","BC","2.8","1","-0.5","10.0","1","-5.0","1","4.0","1",NA,"231.7","1",NA,"","12","","",NA,"455.8","0.0","1035612"
"NOOTKA LIGHTSTATION","49.600","-126.617","BC","5.8","1","0.5","14.5","1","1.5","1","0.0","1",NA,"124.8","1",NA,"","12","","",NA,"365.7","0.0","1035614"
"PACHENA POINT","48.723","-125.097","BC","5.6","1","0.3","10.5","1","-1.0","1","3.8","1",NA,"204.0","1",NA,"0.0","11","","",NA,"372.6","0.0","1035940"
"QUATSINO","50.534","-127.653","BC","3.8","1","-0.2","12.5","1","-2.5","1","3.2","1",NA,"120.4","1",NA,"0.0","17","","",NA,"426.9","0.0","1036570"
"PORT ALBERNI (AUT)","49.317","-124.927","BC","1.1","6",NA,"6.1","6","-6.2","5","",,NA,"84.2","6",NA,"0.0","9","",,NA,"422.0","0.0","1036B06"
"SARTINE ISLAND (AUT)","50.821","-128.908","BC","6.4","4",NA,"12.1","4","1.4","0","",,NA,"116.6","4",NA,"","17","",,NA,"311.9","0.0","1037090"
"SOLANDER ISLAND (AUT)","50.112","-127.940","BC","6.5","4",NA,"13.5","4","1.8","0","",,NA,"93.8","4",NA,"","14","",,NA,"310.7","0.0","1037553"
"TAHSIS VILLAGE NORTH","49.932","-126.654","BC","3.8","13",NA,"10.0","13","-2.0","13","",,NA,"64.8","25",NA,"","5","","",NA,"255.0","0.0","1037899"
"TOFINO A","49.082","-125.773","BC","4.5","0","-0.5","13.5","0","-3.5","0","0.0","0","0.0","145.8","0","33.0","0.0","11","","",NA,"418.3","0.0","1038205"
"UCLUELET KENNEDY CAMP","48.945","-125.527","BC","5.0","0","-0.5","15.0","0","-4.0","0","0.0","0","0.0","186.1","0","41.0","0.0","15","","",NA,"403.2","0.0","1038332"
"ZEBALLOS MURAUDE CREEK","50.053","-126.779","BC","3.4","0",NA,"16.5","0","-5.0","0","0.0","0",NA,"105.1","0",NA,"0.0","10","","",NA,"451.8","0.0","1039035"
"BOWEN ISLAND SUNSET PARK","49.360","-123.402","BC","",,NA,"",,"",,"13.0","25",NA,"89.0","25",NA,"","6","","",NA,"","","104091B"
"GIBSONS GOWER POINT","49.386","-123.541","BC","3.7","2","-0.5","9.0","2","-2.0","2","0.8","2",NA,"99.4","2",NA,"0.0","7","","",NA,"415.2","0.0","1043152"
"MERRY ISLAND LIGHTSTATION","49.468","-123.913","BC","4.2","0","-1.0","8.0","0","0.0","0","7.8","0","104.0","101.6","0","76.0","0.0","10","","",NA,"429.2","0.0","1045100"
"HOWE SOUND - PAM ROCKS","49.488","-123.299","BC","4.7","0",NA,"10.9","0","-0.2","0","",,NA,"69.0","2",NA,"","9","",,NA,"413.2","0.0","10459NN"
"PENDER HARBOUR","49.634","-124.032","BC","",,NA,"",,"",,"14.2","0",NA,"101.2","0",NA,"3.0","12","","",NA,"","","1046115"
"PORT MELLON","49.526","-123.496","BC","2.9","0",NA,"10.1","0","-4.2","0","",,NA,"222.5","0",NA,"5.0","10","",,NA,"467.0","0.0","1046332"
"POWELL RIVER A","49.834","-124.500","BC","1.4","0","-1.8","7.5","0","-7.0","0","18.0","0","157.0","98.9","0","63.0","10.0","11","","",NA,"515.9","0.0","1046391"
"POWELL RIVER","49.835","-124.497","BC","1.5","0",NA,"7.8","0","-6.6","0","",,NA,"",,NA,"5.0","","",,NA,"510.0","0.0","1046392"
"SECHELT AUT","49.458","-123.715","BC","2.2","0",NA,"8.6","0","-4.8","0","",,NA,"120.7","0",NA,"2.0","10","",,NA,"490.9","0.0","1047172"
"SQUAMISH AIRPORT","49.783","-123.161","BC","1.6","0",NA,"11.3","0","-6.5","0","",,NA,"141.7","0",NA,"44.0","8","",,NA,"509.3","0.0","10476F0"
"WHISTLER","50.129","-122.955","BC","-3.7","0","-0.9","4.0","0","-13.0","0","82.4","0","72.0","76.7","0","50.0","72.0","10","","",NA,"674.1","0.0","1048898"
"CAPE ST JAMES","51.936","-131.016","BC","5.9","12",NA,"10.3","12","0.7","0","",,NA,"",,NA,"","","",,NA,"230.7","0.0","1051351"
