"Environment and Climate Change Canada"
"Monthly Values for April - 2013"

"Legend"
"Stn_Name","Station Name"
"Lat","Latitude (North + , degrees)"
"Long","Longitude (West - , degrees)"
"Prov","Province"
"Tm","Mean Temperature (°C)"
"DwTm","Days without Valid Mean Temperature"
"D","Mean Temperature difference from Normal (1981-2010) (°C)"
"Tx","Highest Monthly Maximum Temperature (°C)"
"DwTx","Days without Valid Maximum Temperature"
"Tn","Lowest Monthly Minimum Temperature (°C)"
"DwTn","Days without Valid Minimum Temperature"
"S","Snowfall (cm)"
"DwS","Days without Valid Snowfall"
"S%N","Percent of Normal (1981-2010) Snowfall"
"P","Total Precipitation (mm)"
"DwP","Days without Valid Precipitation"
"P%N","Percent of Normal (1981-2010) Precipitation"
"S_G","Snow on the ground at the end of the month (cm)"
"Pd","Number of days with Precipitation 1.0 mm or more"
"BS","Bright Sunshine (hours)"
"DwBS","Days without Valid Bright Sunshine"
"BS%","Percent of Normal (1981-2010) Bright Sunshine"
"HDD","Degree Days below 18 °C"
"CDD","Degree Days above 18 °C"
"Clim_ID","Climate Identifier"
"NA","Not Available"

"Stn_Name","Lat","Long","Prov","Tm","DwTm","D","Tx","DwTx","Tn","DwTn","S","DwS","S%N","P","DwP","P%N","S_G","Pd","BS","DwBS","BS%","HDD","CDD","Clim_ID"
"CHEMAINUS","48.935","-123.742","BC","9.7","0",NA,"18.5","0","1.0","0","0.0","0",NA,"79.3","0",NA,"0.0","11","","",NA,"247.7","0.0","1011500"
"COWICHAN LAKE FORESTRY","48.824","-124.133","BC","8.3","0","-0.2","21.0","0","-1.0","0","0.0","0","0.0","120.0","0","85.0","0.0","15","","",NA,"292.1","0.0","1012040"
"LAKE COWICHAN","48.829","-124.052","BC","8.7","14","0.2","23.0","9","-0.5","9","0.0","9",NA,"128.1","9",NA,"0.0","10","","",NA,"148.2","0.0","1012055"
"DISCOVERY ISLAND","48.424","-123.225","BC","",,NA,"",,"3.9","0","",,NA,"",,NA,"","","",,NA,"","","1012475"
"DUNCAN KELVIN CREEK","48.735","-123.728","BC","8.6","0","-0.6","20.0","0","-0.5","0","0.0","0","0.0","82.7","0","100.0","0.0","14","","",NA,"283.3","0.0","1012573"
"ESQUIMALT HARBOUR","48.432","-123.439","BC","8.2","0",NA,"17.5","0","1.8","0","",,NA,"92.4","0",NA,"","14","",,NA,"293.7","0.0","1012710"
"GANGES MANSELL RD","48.872","-123.498","BC","8.5","0",NA,"19.0","0","0.0","0","0.0","0",NA,"66.0","0",NA,"0.0","10","","",NA,"283.9","0.0","1013051"
"GALIANO NORTH","48.985","-123.573","BC","9.2","9",NA,"15.5","9","1.0","9","0.0","9",NA,"50.2","9",NA,"0.0","6","","",NA,"185.6","0.0","10130MN"
"MALAHAT","48.575","-123.530","BC","8.0","0",NA,"19.1","0","0.6","0","",,NA,"",,NA,"","","",,NA,"299.0","0.0","1014820"
"METCHOSIN","48.374","-123.561","BC","",,NA,"",,"",,"0.0","0",NA,"108.7","0","182.0","0.0","16","","",NA,"","","1015105"
"NORTH COWICHAN","48.824","-123.718","BC","",,NA,"",,"",,"0.0","14",NA,"40.0","14",NA,"0.0","6","","",NA,"","","1015628"
"NORTH COWICHAN","48.824","-123.719","BC","9.1","0",NA,"20.0","0","-1.1","0","",,NA,"58.0","0",NA,"","10","",,NA,"266.1","0.0","1015630"
"NORTH PENDER ISLAND","48.764","-123.287","BC","9.7","2",NA,"19.0","2","2.5","2","0.0","2",NA,"42.6","2",NA,"0.0","9","","",NA,"232.6","0.0","1015638"
"PORT RENFREW","48.592","-124.326","BC","8.0","0","-0.4","18.0","0","-0.5","0","0.0","0","0.0","349.5","0","135.0","0.0","19","","",NA,"301.3","0.0","1016335"
"RACE ROCKS CS","48.299","-123.531","BC","9.1","16",NA,"14.9","16","5.3","16","",,NA,"",,NA,"","","",,NA,"124.9","0.0","1016640"
"SAANICHTON CDA","48.622","-123.419","BC","9.2","2","-0.1","18.0","1","3.0","1","0.0","1",NA,"69.9","1",NA,"0.0","13","","",NA,"246.6","0.0","1016940"
"SALTSPRING ST MARY'S L","48.888","-123.546","BC","10.1","0","0.5","19.0","0","2.5","0","0.0","0",NA,"62.6","0","110.0","0.0","9","","",NA,"238.1","0.0","1016995"
"SAANICHTON MT NEWTON","48.598","-123.427","BC","",,NA,"",,"",,"0.0","26",NA,"27.6","26",NA,"0.0","4","","",NA,"","","1016RM0"
"SATURNA CAPMON","48.775","-123.128","BC","8.4","0","-0.6","17.0","0","1.3","0","0.0","0",NA,"78.0","0","148.0","0.0","15","","",NA,"287.1","0.0","1017098"
"SATURNA CAPMON CS","48.775","-123.128","BC","8.3","3",NA,"16.7","1","1.1","3","",,NA,"70.5","2",NA,"","11","",,NA,"262.4","0.0","1017099"
